the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,cd,nta2010,nta2020,council,schooldist,policeprct,ct2010,ct2020,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,latitude,longitude,xcoord,ycoord,datasouce,uid
0101000020E61000006C6FD4C6047952C06E8186DDE6674440,0101000020110F00002A970FCDB6605FC1AC7782F6C8035341,TRI-STATE TRANSFER ASSOCIATES INC (ASBESTOS),1199,RANDALL AVENUE,1199 RANDALL AVENUE,BRONX,10474,BRONX,2,2088212,2027650074,202,BX27,BX0201,17,08,41,009300,009302,TRANSFER STATION,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,Jaime Byrne Baranoff,Non-public,Non-public,NYS Department of Environmental Conservation,NYSDEC,State,0,,40.8117329506,-73.8909165459,1014446.04968,235032.09452,nysdec_solidwaste,11e23e1d6413e9bc577bbc9ef65da60f
0101000020E61000006BBE95A2F28452C018418BB238514440,0101000020110F00009CAE3B16FA745FC16E0B75555EEA5241,SI LCU GARAGE,66,SWAN STREET,66 SWAN STREET,STATEN ISLAND,10301,STATEN ISLAND,5,5013317,5005040049,501,SI37,SI0102,49,31,120,002100,002100,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.6345427681,-74.0773092705,962792.577179,170466.886341,dsny_garages,161ab5911bd2f58371a04c220ed3d3b2
0101000020E61000000CB8E21E8E7852C08AC94846C96A4440,0101000020110F0000FA857640ED5F5FC18721C7B205075341,BX03A GARAGE,1661,WEST FARMS ROAD,1661 WEST FARMS ROAD,BRONX,10460,BRONX,2,2010954,2030150049,203,BX75,BX0303,17,12,42,016100,016100,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.8342674119,-73.8836743557,1016439.90024,243244.789519,dsny_garages,16b94090f82551f9aeee78d849152ad9
0101000020E61000000089CDF2B27752C0B09C7A4D99544440,0101000020110F0000F4043DF7785E5FC13653352626EE5241,BKN05G GARAGE,606,MILFORD STREET,606 MILFORD STREET,BROOKLYN,11208,BROOKLYN,3,3099068,3045620001,305,BK82,BK0503,42,19,75,107800,107800,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.6609284256,-73.8702971468,1020235.1786,180097.078163,dsny_garages,19d8e9ee1f98a0d89c453c1e742ef2cc
0101000020E6100000D77DF0B3707B52C0647F8BFEE4684440,0101000020110F00009C8BDDCED3645FC180618525E6045341,MN09G GARAGE,125,EAST 149 STREET,125 EAST 149 STREET,BRONX,10451,BRONX,2,2001102,2023520028,204,BX63,BX0401,8,07,44,006300,006301,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.819488352,-73.9287538389,1003969.7849,237846.883645,dsny_garages,1a0f541af7a741c6e85d8ca7b37a4c1e
0101000020E6100000779A8032267652C0C822EA3892624440,0101000020110F0000EA5E420BD75B5FC1A1413921CEFD5241,QN LCU GARAGE,30-19,122 STREET,30-19 122 STREET,FLUSHING,11354,QUEENS,4,4570021,4043500001,407,QN23,QN0701,19,25,109,090700,090700,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.7700873513,-73.8460813767,1026883.79331,219877.822811,dsny_garages,1bfacb49c3905547b9c06a7a2a2b6eaa
0101000020E6100000DA7E0748997A52C094AAC7AB75664440,0101000020110F00006B3097E465635FC120035AB62A025341,MN08A/11A GARAGE,720,EAST 132 STREET,720 EAST 132 STREET,BRONX,10454,BRONX,2,2003581,2025430060,201,BX39,BX0101,17,07,40,001900,001903,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.8004660341,-73.9156055524,1007615.69396,230919.613215,dsny_garages,1ff821843aeac5462fd72c8a4ace0b4d
0101000020E6100000F9624C48018052C03203677E24564440,0101000020110F00002B770BC2946C5FC1BB8B91A4E0EF5241,WASTE CONNECTIONS (IESI 577 COURT ST) BROOKLYN,563,COURT STREET,563 COURT STREET,BROOKLYN,11231,BROOKLYN,3,3259536,3004840006,306,BK33,BK0601,38,15,76,005300,005302,TRANSFER STATION,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,"Waste Connections of New York; Inc.",Non-public,Non-public,NYS Department of Environmental Conservation,NYSDEC,State,0,,40.6729887014,-74.0000782724,984228.287771,184464.336281,nysdec_solidwaste,26b6b3eae6c45c92f4832199cdf4b78a
0101000020E61000002F7B344C4B8152C089CF371E9E534440,0101000020110F000045307652C56E5FC127CBCCF00CED5241,BKS07G GARAGE,5100,1 AVENUE,5100 1 AVENUE,BROOKLYN,11232,BROOKLYN,3,0,3007250200,307,BK32,BK0702,38,15,72,001800,001803,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.6532628792,-74.0202208048,978639.227902,177278.31268,dsny_garages,29e51f884b3cfd5c07a82eec9e220867
0101000020E6100000F785D495CF7F52C0A89D48A7AE5E4440,0101000020110F0000B8FBA657406C5FC10E5043EC71F95241,SECTION 51/41-2,128,WEST 17 STREET,128 WEST 17 STREET,NEW YORK,10011,MANHATTAN,1,1014588,1007920053,104,MN13,MN0401,3,02,13,008100,008100,SANITATION SECTION STATION,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.739705,-73.997045,985068.876859,208771.103046,dcp_colp,2b5015539e3abffec6d130e4d351d784
